brand_solution,brand,sku_count,revenue_12m_zar,avg_margin_pct,avg_rating
Private label and dealer-own brands,Retailer Brands,430236,103650387103.98,35.01,3.0
Libstar Brands,Finlar Fine Foods,268984,84928535829.91,35.02,3.0
Libstar Brands,Rialto,269175,81006558209.69,34.98,3.0
Libstar Brands,Khoisan Gourmet,267412,79563401191.82,35.02,3.0
Libstar Brands,Goldcrest,268612,77820300503.05,35.02,3.0
Libstar Brands,Cape Foods,268381,74364367070.1,35.01,3.01
Libstar Brands,Dickon Hall Foods,269141,73699851203.2,34.98,3.0
Libstar Brands,Chamonix,269004,73286135131.13,35.0,3.0
Libstar Brands,Montagu Foods,269449,72784041445.68,34.99,3.0
Libstar Brands,Cape Coastal Honey,134815,40291885411.76,34.99,3.0
Libstar Brands,Millennium Foods,134979,39759657227.65,35.01,2.99
Libstar Brands,Cape Herb & Spice,134320,36737719304.59,34.96,3.0
Libstar Brands,Ambassador Foods,134635,34903619076.47,34.96,3.0
Libstar Brands,Lancewood,134552,34652530248.2,34.99,3.0
Libstar Brands,Cecil Vinegar,134623,33424770828.84,35.01,3.0
Libstar Brands,Umatie,135060,32415875710.11,35.02,3.0
Principal Brands,Bonne Maman,89469,31075517380.29,35.01,3.0
Libstar Brands,Amaro Foods,134102,29972345702.42,35.0,3.0
Libstar Brands,Cani,134175,29944611606.71,34.98,3.0
Libstar Brands,Denny Mushrooms,134310,27920502780.47,35.02,3.0
Principal Brands,Maille,90195,26156908904.09,35.05,3.0
Principal Brands,Kikkoman,89554,26038014105.28,35.04,3.0
Principal Brands,Tabasco,89788,25884770903.33,35.0,3.01
