product_id,product_name,category,brand,price_zar,cost_zar,margin_pct,weight_kg,anomaly_raw
LIB-04371084,Classic Beef Burger Patties 250ml,Value-added Meats,Finlar Fine Foods,227.69,181.82,20.15,4.401,-0.08009323829389892
LIB-01680780,Premium Orange Marmalade 750g,Spreads,Bonne Maman,260.87,208.63,20.03,4.197,-0.07905881171730667
LIB-03455095,Everyday Hot Chocolate 250ml,Beverages,Rialto,315.01,169.81,46.09,4.933,-0.07599407323898699
LIB-02809688,Classic Strawberry Preserve 2kg,Spreads,Dickon Hall Foods,193.94,154.88,20.14,4.242,-0.07493507461920978
LIB-02205705,Select Chicken Nuggets 250g,Value-added Meats,Finlar Fine Foods,210.95,168.58,20.09,3.584,-0.07493507461920978
LIB-04510016,Everyday Chicken Nuggets 500ml,Value-added Meats,Finlar Fine Foods,224.52,179.44,20.08,3.384,-0.07493507461920978
LIB-03140602,Traditional Mac & Cheese Meal 1kg,Convenience Meals,Millennium Foods,219.97,174.7,20.58,3.876,-0.07476698091772405
LIB-03841304,Classic Instant Cappuccino 250ml,Beverages,Chamonix,281.27,155.0,44.89,4.656,-0.07393769765458769
LIB-04370014,Organic Green Tea 500ml,Beverages,Chamonix,203.88,162.23,20.43,4.055,-0.07322666577937331
LIB-00686910,Gourmet Apricot Jam 2kg,Spreads,Cape Coastal Honey,236.0,186.4,21.02,4.789,-0.07243947118962091
LIB-01625817,Organic Cordon Bleu 250g,Value-added Meats,Finlar Fine Foods,199.06,158.89,20.18,3.305,-0.0723690505897594
LIB-02690171,Select Butter Chicken Meal 750ml,Convenience Meals,Finlar Fine Foods,213.15,170.11,20.19,3.342,-0.0711777696295044
LIB-04758965,Everyday Mac & Cheese Meal 2kg,Convenience Meals,Millennium Foods,256.12,203.88,20.4,3.421,-0.07066641141543673
LIB-00164065,Traditional Strawberry Preserve 750ml,Spreads,Bonne Maman,273.14,150.33,44.96,4.326,-0.07035240465228887
LIB-03154955,Organic Apricot Jam 500ml,Spreads,Dickon Hall Foods,229.77,183.82,20.0,3.026,-0.07032247230480804
LIB-03380053,Organic Peri-Peri Rub 500ml,Dry condiments,Khoisan Gourmet,199.35,157.91,20.79,4.387,-0.06988187535177659
LIB-00079114,Everyday Green Tea 750ml,Beverages,Rialto,204.36,162.73,20.37,3.481,-0.06964473233623802
LIB-00837412,Gourmet Dijon Mustard 250g,Wet condiments,Maille,233.41,186.31,20.18,2.805,-0.0693012583198529
LIB-03266448,Classic Chocolate Spread 1L,Spreads,Dickon Hall Foods,267.39,134.93,49.54,6.93,-0.0693012583198529
LIB-04255213,everyday chicken nuggets 500ml,Value-added Meats,Finlar Fine Foods,263.53,209.54,20.49,3.194,-0.069134411003414
LIB-01530190,Premium Strawberry Preserve 500ml,Spreads,Cape Coastal Honey,235.47,187.45,20.39,3.121,-0.06862443483024172
LIB-03801529,Organic Orange Marmalade 750ml,Spreads,Cape Coastal Honey,225.33,179.48,20.35,3.182,-0.06811480358326993
LIB-00436790,Select Beef Burger Patties 1L,Value-added Meats,Finlar Fine Foods,283.12,219.71,22.4,4.212,-0.0677824931450105
LIB-01044740,Organic Chocolate Spread 125g,Spreads,Goldcrest,262.26,150.11,42.76,5.501,-0.0672756526538304
LIB-02229168,GOURMET TOMATO PASTE 500ML,Meal ingredients,Rialto,222.51,120.8,45.71,5.826,-0.06678405182437552
LIB-00204348,everyday couscous 1l,Meal ingredients,Cape Foods,208.88,167.08,20.01,2.715,-0.06675426090443937
LIB-01607030,Gourmet Chicken Nuggets 750g,Value-added Meats,Finlar Fine Foods,202.26,160.79,20.5,3.189,-0.06658797706741193
LIB-01367472,Traditional Balsamic Reduction 500ml,Wet condiments,Cecil Vinegar,232.5,125.5,46.02,5.222,-0.0662756653342198
LIB-02962513,Everyday Chocolate Spread 2kg,Spreads,Dickon Hall Foods,220.13,119.07,45.91,5.311,-0.0662756653342198
LIB-01427623,Select Rooibos Tea 500g,Beverages,Chamonix,275.08,159.81,41.9,4.934,-0.06625855875361442
